session_id,subject_id,is_behavior_pass,session_type
737403_2024-09-24,737403,false,brainwide
737403_2024-09-25,737403,false,brainwide
737403_2024-09-26,737403,true,brainwide
737403_2024-09-26,737403,false,brainwide
737403_2024-09-27,737403,false,brainwide
741137_2024-10-08,741137,true,brainwide
741137_2024-10-08,741137,false,brainwide
741137_2024-10-09,741137,false,brainwide
741137_2024-10-10,741137,true,brainwide
741137_2024-10-10,741137,false,brainwide
741137_2024-10-11,741137,false,brainwide
741148_2024-10-15,741148,false,brainwide
741148_2024-10-17,741148,true,brainwide
741148_2024-10-17,741148,false,brainwide
741148_2024-10-18,741148,true,brainwide
741148_2024-10-18,741148,false,brainwide
742903_2024-10-21,742903,true,brainwide
742903_2024-10-21,742903,false,brainwide
742903_2024-10-22,742903,true,brainwide
742903_2024-10-22,742903,false,brainwide
742903_2024-10-23,742903,true,brainwide
742903_2024-10-23,742903,false,brainwide
742903_2024-10-24,742903,true,brainwide
742903_2024-10-24,742903,false,brainwide
743199_2024-12-03,743199,true,brainwide
743199_2024-12-03,743199,false,brainwide
743199_2024-12-04,743199,true,brainwide
743199_2024-12-04,743199,false,brainwide
743199_2024-12-05,743199,true,brainwide
743199_2024-12-05,743199,false,brainwide
743199_2024-12-06,743199,true,brainwide
743199_2024-12-06,743199,false,brainwide
744279_2025-01-13,744279,false,brainwide
744279_2025-01-14,744279,false,brainwide
744279_2025-01-16,744279,false,brainwide
746439_2025-01-27,746439,false,naive
746439_2025-01-28,746439,false,brainwide
746439_2025-01-29,746439,false,brainwide
746439_2025-01-30,746439,false,brainwide
746439_2025-01-31,746439,true,brainwide
746439_2025-01-31,746439,false,brainwide
750329_2024-11-25,750329,false,brainwide
750329_2024-11-26,750329,false,brainwide
750329_2024-11-27,750329,true,brainwide
750329_2024-11-27,750329,false,brainwide
759434_2025-02-03,759434,true,brainwide
759434_2025-02-03,759434,false,brainwide
759434_2025-02-04,759434,true,brainwide
759434_2025-02-04,759434,false,brainwide
759434_2025-02-05,759434,true,brainwide
759434_2025-02-05,759434,false,brainwide
759434_2025-02-06,759434,true,brainwide
759434_2025-02-06,759434,false,brainwide
759434_2025-02-07,759434,true,brainwide
759434_2025-02-07,759434,false,brainwide
761583_2024-12-16,761583,true,brainwide
761583_2024-12-16,761583,false,brainwide
795555_2025-08-21,795555,false,brainwide
795555_2025-08-22,795555,false,brainwide
795555_2025-08-25,795555,false,brainwide
795555_2025-08-26,795555,false,brainwide
796012_2025-07-10,796012,false,brainwide
796012_2025-07-11,796012,false,brainwide
796012_2025-07-14,796012,false,brainwide
796012_2025-07-15,796012,false,brainwide
796847_2025-07-29,796847,false,brainwide
796847_2025-07-30,796847,false,brainwide
796847_2025-07-31,796847,false,brainwide
796847_2025-08-01,796847,false,brainwide
798632_2025-08-29,798632,false,brainwide
798632_2025-09-02,798632,false,brainwide
798632_2025-09-03,798632,false,brainwide
798632_2025-09-04,798632,false,brainwide
807082_2025-09-29,807082,false,brainwide
807082_2025-09-30,807082,false,brainwide
807082_2025-10-01,807082,false,brainwide
807082_2025-10-02,807082,false,brainwide
810752_2025-10-07,810752,false,brainwide
810752_2025-10-08,810752,false,brainwide
810752_2025-10-09,810752,false,brainwide
810752_2025-10-10,810752,false,brainwide
814666_2025-11-06,814666,false,brainwide
814666_2025-11-07,814666,false,brainwide
814666_2025-11-10,814666,false,brainwide
814666_2025-11-11,814666,false,brainwide
831994_2025-12-15,831994,false,brainwide
831994_2025-12-16,831994,false,brainwide
831994_2025-12-17,831994,false,brainwide
831994_2025-12-18,831994,false,brainwide
