subject_id,session_id,block_index,rewarded_modality,cross_modality_dprime,is_first_block_aud,target,response_rate
644867,644867_2023-02-23,2,aud,0.46316356131381253,true,aud,1.0
644867,644867_2023-02-23,3,vis,3.593642387129031,true,aud,0.05555555555555555
644867,644867_2023-02-23,3,vis,3.593642387129031,true,vis,1.0
644867,644867_2023-02-23,4,aud,1.4490059394764787,true,vis,0.47368421052631576
644867,644867_2023-02-23,4,aud,1.4490059394764787,true,aud,1.0
644867,644867_2023-02-23,5,vis,3.6986025375832954,true,aud,0.05
644867,644867_2023-02-23,5,vis,3.6986025375832954,true,vis,1.0
649943,649943_2023-02-13,0,vis,3.2525430893711995,false,vis,1.0
649943,649943_2023-02-13,0,vis,3.2525430893711995,false,aud,0.10526315789473684
649943,649943_2023-02-13,1,aud,1.8166978836280099,false,vis,0.47368421052631576
649943,649943_2023-02-13,1,aud,1.8166978836280099,false,aud,1.0
649943,649943_2023-02-13,2,vis,1.7774157381656135,false,vis,1.0
649943,649943_2023-02-13,2,vis,1.7774157381656135,false,aud,0.5882352941176471
649943,649943_2023-02-13,3,aud,1.9530743882073016,false,vis,0.5263157894736842
649943,649943_2023-02-13,3,aud,1.9530743882073016,false,aud,1.0
649943,649943_2023-02-13,4,vis,1.9530743882073016,false,vis,1.0
649943,649943_2023-02-13,4,vis,1.9530743882073016,false,aud,0.5263157894736842
649943,649943_2023-02-13,5,aud,1.9111727848463136,false,aud,1.0
649943,649943_2023-02-13,5,aud,1.9111727848463136,false,vis,0.55
649943,649943_2023-02-14,0,aud,1.7007959913295647,true,vis,0.631578947368421
649943,649943_2023-02-14,0,aud,1.7007959913295647,true,aud,1.0
649943,649943_2023-02-14,1,vis,0.7375346350385419,true,aud,0.9
649943,649943_2023-02-14,1,vis,0.7375346350385419,true,vis,1.0
649943,649943_2023-02-14,2,aud,2.6196977325646857,true,aud,1.0
649943,649943_2023-02-14,2,aud,2.6196977325646857,true,vis,0.2857142857142857
649943,649943_2023-02-14,3,vis,2.4390693770393903,true,aud,0.35
649943,649943_2023-02-14,3,vis,2.4390693770393903,true,vis,1.0
649943,649943_2023-02-14,4,aud,2.1028459440772287,true,aud,1.0
649943,649943_2023-02-14,4,aud,2.1028459440772287,true,vis,0.47368421052631576
649943,649943_2023-02-14,5,vis,2.728238660827904,true,aud,0.25
649943,649943_2023-02-14,5,vis,2.728238660827904,true,vis,1.0
649943,649943_2023-02-15,0,vis,1.7007959913295647,false,vis,1.0
649943,649943_2023-02-15,0,vis,1.7007959913295647,false,aud,0.631578947368421
649943,649943_2023-02-15,1,aud,1.7546179846388796,false,aud,1.0
649943,649943_2023-02-15,1,aud,1.7546179846388796,false,vis,0.6111111111111112
649943,649943_2023-02-15,2,vis,2.0537489106318225,false,aud,0.5
649943,649943_2023-02-15,2,vis,2.0537489106318225,false,vis,1.0
649943,649943_2023-02-15,3,aud,1.0489221765380394,false,vis,0.85
649943,649943_2023-02-15,3,aud,1.0489221765380394,false,aud,1.0
649943,649943_2023-02-15,4,vis,1.3623443815053062,false,aud,0.75
649943,649943_2023-02-15,4,vis,1.3623443815053062,false,vis,1.0
649943,649943_2023-02-15,5,aud,1.9877370982559819,false,aud,1.0
649943,649943_2023-02-15,5,aud,1.9877370982559819,false,vis,0.5263157894736842
649943,649943_2023-02-16,0,aud,1.893424853728068,true,aud,1.0
649943,649943_2023-02-16,0,aud,1.893424853728068,true,vis,0.55
649943,649943_2023-02-16,1,vis,0.3992299419448726,true,vis,1.0
649943,649943_2023-02-16,1,vis,0.3992299419448726,true,aud,0.9473684210526315
649943,649943_2023-02-16,2,aud,1.9708223193255472,true,vis,0.5263157894736842
649943,649943_2023-02-16,2,aud,1.9708223193255472,true,aud,1.0
649943,649943_2023-02-16,3,vis,1.0159382329206086,true,vis,1.0
649943,649943_2023-02-16,3,vis,1.0159382329206086,true,aud,0.8421052631578947
649943,649943_2023-02-16,4,aud,1.9140386117499604,true,vis,0.5555555555555556
649943,649943_2023-02-16,4,aud,1.9140386117499604,true,aud,1.0
649943,649943_2023-02-16,5,vis,1.2121276770589082,true,vis,1.0
649943,649943_2023-02-16,5,vis,1.2121276770589082,true,aud,0.8
660023,660023_2023-08-09,0,aud,2.1794102574868965,true,vis,0.45
660023,660023_2023-08-09,0,aud,2.1794102574868965,true,aud,1.0
660023,660023_2023-08-09,1,vis,3.2025117382996253,true,vis,1.0
660023,660023_2023-08-09,1,vis,3.2025117382996253,true,aud,0.0625
660023,660023_2023-08-09,2,aud,1.3756371661379057,true,aud,1.0
660023,660023_2023-08-09,2,aud,1.3756371661379057,true,vis,0.631578947368421
660023,660023_2023-08-09,3,vis,3.201392745494629,true,vis,1.0
660023,660023_2023-08-09,3,vis,3.201392745494629,true,aud,0.1111111111111111
660023,660023_2023-08-09,4,aud,1.9919706139489222,true,vis,0.2
660023,660023_2023-08-09,4,aud,1.9919706139489222,true,aud,1.0
660023,660023_2023-08-09,5,vis,-0.39304160563085544,true,vis,0.7647058823529411
660023,660023_2023-08-09,5,vis,-0.39304160563085544,true,aud,0.7333333333333333
662892,662892_2023-08-22,0,aud,1.9530743882073016,true,vis,0.5263157894736842
662892,662892_2023-08-22,0,aud,1.9530743882073016,true,aud,1.0
662892,662892_2023-08-22,1,vis,2.5923073048250833,true,vis,1.0
662892,662892_2023-08-22,1,vis,2.5923073048250833,true,aud,0.2
662892,662892_2023-08-22,2,aud,1.5276782403118023,true,aud,0.95
662892,662892_2023-08-22,2,aud,1.5276782403118023,true,vis,0.5882352941176471
662892,662892_2023-08-22,3,vis,1.608965609007229,true,vis,0.875
662892,662892_2023-08-22,3,vis,1.608965609007229,true,aud,0.29411764705882354
662892,662892_2023-08-22,4,aud,1.7421824677553517,true,vis,0.47058823529411764
662892,662892_2023-08-22,4,aud,1.7421824677553517,true,aud,1.0
662892,662892_2023-08-22,5,vis,2.734812363784779,true,aud,0.15789473684210525
662892,662892_2023-08-22,5,vis,2.734812363784779,true,vis,1.0
662892,662892_2023-08-23,0,vis,3.201392745494629,false,aud,0.1111111111111111
662892,662892_2023-08-23,0,vis,3.201392745494629,false,vis,1.0
662892,662892_2023-08-23,1,aud,0.2643245666808215,false,aud,0.8333333333333334
662892,662892_2023-08-23,1,aud,0.2643245666808215,false,vis,0.75
662892,662892_2023-08-23,2,vis,2.9096518882945497,false,aud,0.17647058823529413
662892,662892_2023-08-23,2,vis,2.9096518882945497,false,vis,1.0
662892,662892_2023-08-23,3,aud,2.7791628105838644,false,aud,0.9375
662892,662892_2023-08-23,3,aud,2.7791628105838644,false,vis,0.13333333333333333
662892,662892_2023-08-23,4,vis,2.555537752965955,false,vis,1.0
662892,662892_2023-08-23,4,vis,2.555537752965955,false,aud,0.1875
662892,662892_2023-08-23,5,aud,2.396478144411696,false,aud,1.0
662892,662892_2023-08-23,5,aud,2.396478144411696,false,vis,0.35294117647058826
662892,662892_2023-08-24,0,aud,3.055519590076932,true,vis,0.15
662892,662892_2023-08-24,0,aud,3.055519590076932,true,aud,1.0
662892,662892_2023-08-24,1,vis,2.5552824516124693,true,aud,0.21052631578947367
662892,662892_2023-08-24,1,vis,2.5552824516124693,true,vis,1.0
662892,662892_2023-08-24,2,aud,3.2764017778715275,true,vis,0.058823529411764705
662892,662892_2023-08-24,2,aud,3.2764017778715275,true,aud,1.0
662892,662892_2023-08-24,3,vis,1.851385605391591,true,vis,1.0
662892,662892_2023-08-24,3,vis,1.851385605391591,true,aud,0.4444444444444444
662892,662892_2023-08-24,4,aud,1.8732033617740693,true,vis,0.4
662892,662892_2023-08-24,4,aud,1.8732033617740693,true,aud,1.0
662892,662892_2023-08-24,5,vis,-0.2326447467246302,true,aud,0.9166666666666666
662892,662892_2023-08-24,5,vis,-0.2326447467246302,true,vis,0.9090909090909091
664851,664851_2023-11-13,0,aud,3.646170221177803,true,vis,0.0
664851,664851_2023-11-13,0,aud,3.646170221177803,true,aud,1.0
664851,664851_2023-11-13,1,vis,3.351520654760515,true,vis,1.0
664851,664851_2023-11-13,1,vis,3.351520654760515,true,aud,0.05263157894736842
664851,664851_2023-11-13,2,aud,1.8113973386804152,true,vis,0.35
664851,664851_2023-11-13,2,aud,1.8113973386804152,true,aud,0.9523809523809523
664851,664851_2023-11-13,3,vis,0.03243056054037918,true,vis,0.6666666666666666
664851,664851_2023-11-13,3,vis,0.03243056054037918,true,aud,0.6842105263157895
664851,664851_2023-11-13,4,aud,2.4963740699086325,true,vis,0.2222222222222222
664851,664851_2023-11-13,4,aud,2.4963740699086325,true,aud,1.0
664851,664851_2023-11-13,5,vis,2.993226872054329,true,vis,1.0
664851,664851_2023-11-13,5,vis,2.993226872054329,true,aud,0.1
664851,664851_2023-11-15,0,aud,2.4963740699086325,true,vis,0.2222222222222222
664851,664851_2023-11-15,0,aud,2.4963740699086325,true,aud,1.0
664851,664851_2023-11-15,1,vis,2.425175821448251,true,vis,1.0
664851,664851_2023-11-15,1,vis,2.425175821448251,true,aud,0.25
664851,664851_2023-11-15,2,aud,3.916480778053474,true,vis,0.0
664851,664851_2023-11-15,2,aud,3.916480778053474,true,aud,1.0
664851,664851_2023-11-15,3,vis,2.6085419984329206,true,vis,1.0
664851,664851_2023-11-15,3,vis,2.6085419984329206,true,aud,0.2777777777777778
664851,664851_2023-11-15,4,aud,3.2712057208483616,true,aud,1.0
664851,664851_2023-11-15,4,aud,3.2712057208483616,true,vis,0.10526315789473684
664851,664851_2023-11-15,5,vis,2.5612346444094287,true,vis,1.0
664851,664851_2023-11-15,5,vis,2.5612346444094287,true,aud,0.3
664851,664851_2023-11-16,0,vis,1.6584186634454325,false,vis,1.0
664851,664851_2023-11-16,0,vis,1.6584186634454325,false,aud,0.4
664851,664851_2023-11-16,1,aud,2.4311408544603763,false,vis,0.35294117647058826
664851,664851_2023-11-16,1,aud,2.4311408544603763,false,aud,1.0
664851,664851_2023-11-16,2,vis,2.5552824516124693,false,vis,1.0
664851,664851_2023-11-16,2,vis,2.5552824516124693,false,aud,0.21052631578947367
664851,664851_2023-11-16,3,aud,2.425175821448251,false,vis,0.25
664851,664851_2023-11-16,3,aud,2.425175821448251,false,aud,1.0
664851,664851_2023-11-16,4,vis,2.5732856296951594,false,vis,1.0
664851,664851_2023-11-16,4,vis,2.5732856296951594,false,aud,0.2
664851,664851_2023-11-16,5,aud,2.63581276004878,false,vis,0.16666666666666666
664851,664851_2023-11-16,5,aud,2.63581276004878,false,aud,1.0
666986,666986_2023-08-15,0,vis,2.4498134998785996,false,vis,1.0
666986,666986_2023-08-15,0,vis,2.4498134998785996,false,aud,0.3333333333333333
666986,666986_2023-08-15,1,aud,2.036834131701388,false,aud,1.0
